Episode	 Steps	 Score	 Best_Score	 Epsilon	
392	 250	 0.00	 0.92	 0.11	
393	 250	 0.00	 0.92	 0.11	
394	 250	 0.00	 0.92	 0.11	
395	 250	 0.00	 0.92	 0.10	
396	 250	 0.00	 0.92	 0.10	
397	 250	 0.00	 0.92	 0.10	
398	 250	 0.00	 0.92	 0.10	
399	 250	 0.00	 0.92	 0.10	
400	 250	 0.00	 0.92	 0.10	
401	 250	 0.00	 0.92	 0.10	
402	 250	 0.00	 0.92	 0.10	
403	 250	 0.00	 0.92	 0.10	
404	 250	 0.00	 0.92	 0.10	
405	 250	 0.00	 0.92	 0.10	
406	 250	 0.00	 0.92	 0.10	
407	 250	 0.00	 0.92	 0.10	
408	 250	 0.00	 0.92	 0.10	
409	 250	 0.00	 0.92	 0.10	
410	 250	 0.00	 0.92	 0.10	
411	 250	 0.00	 0.92	 0.10	
412	 250	 0.00	 0.92	 0.10	
413	 250	 0.00	 0.92	 0.10	
414	 250	 0.00	 0.92	 0.10	
415	 250	 0.00	 0.92	 0.10	
416	 250	 0.00	 0.92	 0.10	
417	 250	 0.00	 0.92	 0.10	
418	 250	 0.00	 0.92	 0.10	
419	 250	 0.00	 0.92	 0.10	
420	 250	 0.00	 0.92	 0.10	
421	 250	 0.00	 0.92	 0.10	
422	 250	 0.00	 0.92	 0.10	
423	 250	 0.00	 0.92	 0.10	
424	 250	 0.00	 0.92	 0.10	
425	 250	 0.00	 0.92	 0.10	
426	 250	 0.00	 0.92	 0.10	
427	 250	 0.00	 0.92	 0.10	
428	 250	 0.00	 0.92	 0.10	
429	 250	 0.00	 0.92	 0.10	
430	 250	 0.00	 0.92	 0.10	
431	 250	 0.00	 0.92	 0.10	
432	 250	 0.00	 0.92	 0.10	
433	 250	 0.00	 0.92	 0.10	
434	 250	 0.00	 0.92	 0.10	
435	 250	 0.00	 0.92	 0.10	
436	 250	 0.00	 0.92	 0.10	
437	 250	 0.00	 0.92	 0.10	
438	 250	 0.00	 0.92	 0.10	
439	 250	 0.00	 0.92	 0.10	
440	 233	 0.16	 0.92	 0.10	
441	 250	 0.00	 0.92	 0.10	
442	 250	 0.00	 0.92	 0.10	
443	 250	 0.00	 0.92	 0.10	
444	 250	 0.00	 0.92	 0.10	
445	 250	 0.00	 0.92	 0.10	
446	 250	 0.00	 0.92	 0.10	
447	 250	 0.00	 0.92	 0.10	
448	 250	 0.00	 0.92	 0.10	
449	 250	 0.00	 0.92	 0.10	
450	 250	 0.00	 0.92	 0.10	
451	 250	 0.00	 0.92	 0.10	
452	 250	 0.00	 0.92	 0.10	
453	 144	 0.48	 0.92	 0.10	
454	 250	 0.00	 0.92	 0.10	
455	 250	 0.00	 0.92	 0.10	
456	 250	 0.00	 0.92	 0.10	
457	 250	 0.00	 0.92	 0.10	
458	 250	 0.00	 0.92	 0.10	
459	 250	 0.00	 0.92	 0.10	
460	 250	 0.00	 0.92	 0.10	
461	 250	 0.00	 0.92	 0.10	
462	 250	 0.00	 0.92	 0.10	
463	 250	 0.00	 0.92	 0.10	
464	 250	 0.00	 0.92	 0.10	
465	 250	 0.00	 0.92	 0.10	
466	 250	 0.00	 0.92	 0.10	
467	 250	 0.00	 0.92	 0.10	
468	 250	 0.00	 0.92	 0.10	
469	 250	 0.00	 0.92	 0.10	
470	 250	 0.00	 0.92	 0.10	
471	 250	 0.00	 0.92	 0.10	
472	 250	 0.00	 0.92	 0.10	
473	 250	 0.00	 0.92	 0.10	
474	 250	 0.00	 0.92	 0.10	
475	 250	 0.00	 0.92	 0.10	
476	 250	 0.00	 0.92	 0.10	
477	 250	 0.00	 0.92	 0.10	
478	 250	 0.00	 0.92	 0.10	
479	 250	 0.00	 0.92	 0.10	
480	 250	 0.00	 0.92	 0.10	
481	 250	 0.00	 0.92	 0.10	
482	 250	 0.00	 0.92	 0.10	
483	 250	 0.00	 0.92	 0.10	
484	 250	 0.00	 0.92	 0.10	
485	 250	 0.00	 0.92	 0.10	
486	 250	 0.00	 0.92	 0.10	
487	 250	 0.00	 0.92	 0.10	
488	 250	 0.00	 0.92	 0.10	
489	 250	 0.00	 0.92	 0.10	
490	 250	 0.00	 0.92	 0.10	
491	 250	 0.00	 0.92	 0.10	
492	 250	 0.00	 0.92	 0.10	
493	 250	 0.00	 0.92	 0.10	
494	 250	 0.00	 0.92	 0.10	
495	 250	 0.00	 0.92	 0.10	
496	 250	 0.00	 0.92	 0.10	
497	 250	 0.00	 0.92	 0.10	
498	 250	 0.00	 0.92	 0.10	
499	 250	 0.00	 0.92	 0.10	
500	 250	 0.00	 0.92	 0.10	
501	 250	 0.00	 0.92	 0.10	
502	 250	 0.00	 0.92	 0.10	
503	 250	 0.00	 0.92	 0.10	
504	 250	 0.00	 0.92	 0.10	
505	 250	 0.00	 0.92	 0.10	
506	 250	 0.00	 0.92	 0.10	
507	 250	 0.00	 0.92	 0.10	
508	 250	 0.00	 0.92	 0.10	
509	 250	 0.00	 0.92	 0.10	
510	 250	 0.00	 0.92	 0.10	
511	 250	 0.00	 0.92	 0.10	
512	 250	 0.00	 0.92	 0.10	
513	 250	 0.00	 0.92	 0.10	
514	 250	 0.00	 0.92	 0.10	
515	 250	 0.00	 0.92	 0.10	
516	 250	 0.00	 0.92	 0.10	
517	 250	 0.00	 0.92	 0.10	
518	 250	 0.00	 0.92	 0.10	
519	 250	 0.00	 0.92	 0.10	
520	 250	 0.00	 0.92	 0.10	
521	 250	 0.00	 0.92	 0.10	
522	 250	 0.00	 0.92	 0.10	
523	 250	 0.00	 0.92	 0.10	
524	 250	 0.00	 0.92	 0.10	
525	 250	 0.00	 0.92	 0.10	
526	 250	 0.00	 0.92	 0.10	
527	 250	 0.00	 0.92	 0.10	
528	 250	 0.00	 0.92	 0.10	
529	 250	 0.00	 0.92	 0.10	
530	 250	 0.00	 0.92	 0.10	
531	 250	 0.00	 0.92	 0.10	
532	 250	 0.00	 0.92	 0.10	
533	 250	 0.00	 0.92	 0.10	
534	 250	 0.00	 0.92	 0.10	
535	 250	 0.00	 0.92	 0.10	
536	 250	 0.00	 0.92	 0.10	
537	 250	 0.00	 0.92	 0.10	
538	 250	 0.00	 0.92	 0.10	
539	 250	 0.00	 0.92	 0.10	
540	 250	 0.00	 0.92	 0.10	
541	 250	 0.00	 0.92	 0.10	
542	 250	 0.00	 0.92	 0.10	
543	 250	 0.00	 0.92	 0.10	
544	 250	 0.00	 0.92	 0.10	
545	 250	 0.00	 0.92	 0.10	
546	 250	 0.00	 0.92	 0.10	
547	 250	 0.00	 0.92	 0.10	
548	 250	 0.00	 0.92	 0.10	
549	 250	 0.00	 0.92	 0.10	
550	 250	 0.00	 0.92	 0.10	
551	 250	 0.00	 0.92	 0.10	
552	 250	 0.00	 0.92	 0.10	
553	 250	 0.00	 0.92	 0.10	
554	 250	 0.00	 0.92	 0.10	
555	 250	 0.00	 0.92	 0.10	
556	 250	 0.00	 0.92	 0.10	
557	 250	 0.00	 0.92	 0.10	
558	 250	 0.00	 0.92	 0.10	
559	 250	 0.00	 0.92	 0.10	
560	 250	 0.00	 0.92	 0.10	
561	 250	 0.00	 0.92	 0.10	
562	 250	 0.00	 0.92	 0.10	
563	 250	 0.00	 0.92	 0.10	
564	 250	 0.00	 0.92	 0.10	
565	 250	 0.00	 0.92	 0.10	
566	 250	 0.00	 0.92	 0.10	
567	 250	 0.00	 0.92	 0.10	
568	 250	 0.00	 0.92	 0.10	
569	 250	 0.00	 0.92	 0.10	
570	 250	 0.00	 0.92	 0.10	
571	 250	 0.00	 0.92	 0.10	
572	 250	 0.00	 0.92	 0.10	
573	 250	 0.00	 0.92	 0.10	
574	 250	 0.00	 0.92	 0.10	
575	 250	 0.00	 0.92	 0.10	
576	 250	 0.00	 0.92	 0.10	
577	 250	 0.00	 0.92	 0.10	
578	 250	 0.00	 0.92	 0.10	
579	 105	 0.62	 0.92	 0.10	
580	 250	 0.00	 0.92	 0.10	
581	 250	 0.00	 0.92	 0.10	
582	 250	 0.00	 0.92	 0.10	
583	 250	 0.00	 0.92	 0.10	
584	 250	 0.00	 0.92	 0.10	
585	 250	 0.00	 0.92	 0.10	
586	 250	 0.00	 0.92	 0.10	
587	 250	 0.00	 0.92	 0.10	
588	 183	 0.34	 0.92	 0.10	
589	 250	 0.00	 0.92	 0.10	
590	 250	 0.00	 0.92	 0.10	
591	 250	 0.00	 0.92	 0.10	
592	 250	 0.00	 0.92	 0.10	
593	 250	 0.00	 0.92	 0.10	
594	 250	 0.00	 0.92	 0.10	
595	 250	 0.00	 0.92	 0.10	
596	 250	 0.00	 0.92	 0.10	
597	 250	 0.00	 0.92	 0.10	
598	 250	 0.00	 0.92	 0.10	
599	 250	 0.00	 0.92	 0.10	
600	 250	 0.00	 0.92	 0.10	
601	 250	 0.00	 0.92	 0.10	
602	 172	 0.38	 0.92	 0.10	
603	 250	 0.00	 0.92	 0.10	
604	 250	 0.00	 0.92	 0.10	
605	 250	 0.00	 0.92	 0.10	
606	 250	 0.00	 0.92	 0.10	
607	 68	 0.76	 0.92	 0.10	
608	 250	 0.00	 0.92	 0.10	
609	 250	 0.00	 0.92	 0.10	
610	 250	 0.00	 0.92	 0.10	
611	 250	 0.00	 0.92	 0.10	
612	 250	 0.00	 0.92	 0.10	
613	 250	 0.00	 0.92	 0.10	
614	 250	 0.00	 0.92	 0.10	
615	 250	 0.00	 0.92	 0.10	
616	 250	 0.00	 0.92	 0.10	
617	 142	 0.49	 0.92	 0.10	
618	 250	 0.00	 0.92	 0.10	
619	 250	 0.00	 0.92	 0.10	
620	 250	 0.00	 0.92	 0.10	
621	 250	 0.00	 0.92	 0.10	
622	 250	 0.00	 0.92	 0.10	
623	 250	 0.00	 0.92	 0.10	
624	 250	 0.00	 0.92	 0.10	
625	 250	 0.00	 0.92	 0.10	
626	 250	 0.00	 0.92	 0.10	
627	 250	 0.00	 0.92	 0.10	
628	 250	 0.00	 0.92	 0.10	
629	 250	 0.00	 0.92	 0.10	
630	 250	 0.00	 0.92	 0.10	
631	 250	 0.00	 0.92	 0.10	
632	 250	 0.00	 0.92	 0.10	
633	 250	 0.00	 0.92	 0.10	
634	 250	 0.00	 0.92	 0.10	
635	 250	 0.00	 0.92	 0.10	
636	 250	 0.00	 0.92	 0.10	
637	 250	 0.00	 0.92	 0.10	
638	 250	 0.00	 0.92	 0.10	
639	 250	 0.00	 0.92	 0.10	
640	 250	 0.00	 0.92	 0.10	
641	 250	 0.00	 0.92	 0.10	
642	 250	 0.00	 0.92	 0.10	
643	 250	 0.00	 0.92	 0.10	
644	 250	 0.00	 0.92	 0.10	
645	 250	 0.00	 0.92	 0.10	
646	 250	 0.00	 0.92	 0.10	
647	 250	 0.00	 0.92	 0.10	
648	 250	 0.00	 0.92	 0.10	
649	 250	 0.00	 0.92	 0.10	
650	 250	 0.00	 0.92	 0.10	
651	 250	 0.00	 0.92	 0.10	
652	 250	 0.00	 0.92	 0.10	
653	 250	 0.00	 0.92	 0.10	
654	 250	 0.00	 0.92	 0.10	
655	 250	 0.00	 0.92	 0.10	
656	 250	 0.00	 0.92	 0.10	
657	 250	 0.00	 0.92	 0.10	
658	 250	 0.00	 0.92	 0.10	
659	 250	 0.00	 0.92	 0.10	
660	 250	 0.00	 0.92	 0.10	
