Episode	 Steps	 Score	 Best_Score	 Epsilon	
408	 183	 0.34	 0.97	 0.33	
409	 14	 0.95	 0.97	 0.33	
410	 55	 0.80	 0.97	 0.33	
411	 32	 0.88	 0.97	 0.33	
412	 184	 0.34	 0.97	 0.33	
413	 93	 0.67	 0.97	 0.33	
414	 45	 0.84	 0.97	 0.33	
415	 53	 0.81	 0.97	 0.33	
416	 167	 0.40	 0.97	 0.32	
417	 86	 0.69	 0.97	 0.32	
418	 91	 0.67	 0.97	 0.32	
419	 86	 0.69	 0.97	 0.32	
420	 141	 0.49	 0.97	 0.32	
421	 25	 0.91	 0.97	 0.32	
422	 182	 0.34	 0.97	 0.32	
423	 218	 0.22	 0.97	 0.32	
424	 221	 0.20	 0.97	 0.31	
425	 86	 0.69	 0.97	 0.31	
426	 85	 0.69	 0.97	 0.31	
427	 70	 0.75	 0.97	 0.31	
428	 80	 0.71	 0.97	 0.31	
429	 250	 0.00	 0.97	 0.31	
430	 34	 0.88	 0.97	 0.31	
431	 39	 0.86	 0.97	 0.31	
432	 250	 0.00	 0.97	 0.31	
433	 60	 0.78	 0.97	 0.30	
434	 134	 0.52	 0.97	 0.30	
435	 68	 0.76	 0.97	 0.30	
436	 250	 0.00	 0.97	 0.30	
437	 58	 0.79	 0.97	 0.30	
438	 88	 0.68	 0.97	 0.30	
439	 250	 0.00	 0.97	 0.30	
440	 250	 0.00	 0.97	 0.29	
441	 250	 0.00	 0.97	 0.29	
442	 250	 0.00	 0.97	 0.29	
443	 173	 0.38	 0.97	 0.29	
444	 250	 0.00	 0.97	 0.28	
445	 37	 0.87	 0.97	 0.28	
446	 225	 0.19	 0.97	 0.28	
447	 250	 0.00	 0.97	 0.28	
448	 11	 0.96	 0.97	 0.28	
449	 22	 0.92	 0.97	 0.28	
450	 200	 0.28	 0.97	 0.28	
451	 140	 0.50	 0.97	 0.28	
452	 137	 0.51	 0.97	 0.27	
453	 250	 0.00	 0.97	 0.27	
454	 137	 0.51	 0.97	 0.27	
455	 43	 0.85	 0.97	 0.27	
456	 250	 0.00	 0.97	 0.27	
457	 86	 0.69	 0.97	 0.27	
458	 60	 0.78	 0.97	 0.27	
459	 16	 0.94	 0.97	 0.27	
460	 25	 0.91	 0.97	 0.27	
461	 51	 0.82	 0.97	 0.26	
462	 250	 0.00	 0.97	 0.26	
463	 250	 0.00	 0.97	 0.26	
464	 250	 0.00	 0.97	 0.26	
465	 110	 0.60	 0.97	 0.26	
466	 250	 0.00	 0.97	 0.25	
467	 250	 0.00	 0.97	 0.25	
468	 250	 0.00	 0.97	 0.25	
469	 250	 0.00	 0.97	 0.25	
470	 57	 0.79	 0.97	 0.25	
471	 97	 0.65	 0.97	 0.24	
472	 244	 0.12	 0.97	 0.24	
473	 250	 0.00	 0.97	 0.24	
474	 250	 0.00	 0.97	 0.24	
475	 250	 0.00	 0.97	 0.23	
476	 250	 0.00	 0.97	 0.23	
477	 250	 0.00	 0.97	 0.23	
478	 250	 0.00	 0.97	 0.23	
479	 250	 0.00	 0.97	 0.22	
480	 250	 0.00	 0.97	 0.22	
481	 250	 0.00	 0.97	 0.22	
482	 250	 0.00	 0.97	 0.22	
483	 250	 0.00	 0.97	 0.21	
484	 250	 0.00	 0.97	 0.21	
485	 250	 0.00	 0.97	 0.21	
486	 250	 0.00	 0.97	 0.21	
487	 25	 0.91	 0.97	 0.21	
488	 169	 0.39	 0.97	 0.21	
489	 11	 0.96	 0.97	 0.21	
490	 45	 0.84	 0.97	 0.20	
491	 250	 0.00	 0.97	 0.20	
492	 250	 0.00	 0.97	 0.20	
493	 250	 0.00	 0.97	 0.20	
494	 250	 0.00	 0.97	 0.19	
495	 103	 0.63	 0.97	 0.19	
496	 187	 0.33	 0.97	 0.19	
497	 14	 0.95	 0.97	 0.19	
498	 250	 0.00	 0.97	 0.19	
499	 165	 0.41	 0.97	 0.19	
500	 250	 0.00	 0.97	 0.19	
501	 125	 0.55	 0.97	 0.18	
502	 250	 0.00	 0.97	 0.18	
503	 250	 0.00	 0.97	 0.18	
504	 213	 0.23	 0.97	 0.18	
505	 250	 0.00	 0.97	 0.17	
506	 77	 0.72	 0.97	 0.17	
507	 250	 0.00	 0.97	 0.17	
508	 250	 0.00	 0.97	 0.17	
509	 250	 0.00	 0.97	 0.17	
510	 75	 0.73	 0.97	 0.17	
511	 250	 0.00	 0.97	 0.16	
512	 155	 0.44	 0.97	 0.16	
513	 250	 0.00	 0.97	 0.16	
514	 61	 0.78	 0.97	 0.16	
515	 153	 0.45	 0.97	 0.16	
516	 250	 0.00	 0.97	 0.15	
517	 40	 0.86	 0.97	 0.15	
518	 57	 0.79	 0.97	 0.15	
519	 16	 0.94	 0.97	 0.15	
520	 89	 0.68	 0.97	 0.15	
521	 250	 0.00	 0.97	 0.15	
522	 97	 0.65	 0.97	 0.15	
523	 11	 0.96	 0.97	 0.15	
524	 27	 0.90	 0.97	 0.15	
525	 250	 0.00	 0.97	 0.15	
526	 210	 0.24	 0.97	 0.14	
527	 250	 0.00	 0.97	 0.14	
528	 143	 0.49	 0.97	 0.14	
529	 55	 0.80	 0.97	 0.14	
530	 250	 0.00	 0.97	 0.14	
531	 34	 0.88	 0.97	 0.14	
532	 23	 0.92	 0.97	 0.14	
533	 60	 0.78	 0.97	 0.14	
534	 250	 0.00	 0.97	 0.13	
535	 109	 0.61	 0.97	 0.13	
536	 237	 0.15	 0.97	 0.13	
537	 23	 0.92	 0.97	 0.13	
538	 24	 0.91	 0.97	 0.13	
539	 85	 0.69	 0.97	 0.13	
540	 140	 0.50	 0.97	 0.13	
541	 79	 0.72	 0.97	 0.13	
542	 15	 0.95	 0.97	 0.13	
543	 15	 0.95	 0.97	 0.13	
544	 10	 0.96	 0.97	 0.13	
545	 54	 0.81	 0.97	 0.13	
546	 90	 0.68	 0.97	 0.12	
547	 17	 0.94	 0.97	 0.12	
548	 62	 0.78	 0.97	 0.12	
549	 40	 0.86	 0.97	 0.12	
550	 27	 0.90	 0.97	 0.12	
551	 25	 0.91	 0.97	 0.12	
552	 27	 0.90	 0.97	 0.12	
553	 38	 0.86	 0.97	 0.12	
554	 135	 0.51	 0.97	 0.12	
555	 250	 0.00	 0.97	 0.12	
556	 250	 0.00	 0.97	 0.12	
557	 97	 0.65	 0.97	 0.11	
558	 250	 0.00	 0.97	 0.11	
559	 250	 0.00	 0.97	 0.11	
560	 12	 0.96	 0.97	 0.11	
561	 16	 0.94	 0.97	 0.11	
562	 250	 0.00	 0.97	 0.11	
563	 239	 0.14	 0.97	 0.10	
564	 243	 0.13	 0.97	 0.10	
565	 162	 0.42	 0.97	 0.10	
566	 114	 0.59	 0.97	 0.10	
567	 211	 0.24	 0.97	 0.10	
568	 250	 0.00	 0.97	 0.10	
569	 121	 0.56	 0.97	 0.10	
570	 27	 0.90	 0.97	 0.10	
